hh,mm,x (min in day),y0,y1,y2
20,0,1200,15476,310773.247,1.317
20,3,1203,5338.035,91631.445,0.393
20,6,1206,7648.045,160250.994,0.687
20,9,1209,4343.823,193231.602,0.365
20,12,1212,13976.222,474708.044,0.656
20,15,1215,13819.182,939942.762,1.166
20,18,1218,4979.531,86874.994,0.458
20,21,1221,1783.824,17135.429,0.203
20,24,1224,11497.689,688283.156,1
20,27,1227,23233.111,756728.756,1.272
20,30,1230,15533.495,674831.604,0.665
20,33,1233,21109.897,640210.88,0.634
20,36,1236,4040.751,64898.122,0.32
20,39,1239,7441.867,127293.289,0.872
20,42,1242,1261.05,107401.028,0.101
20,45,1245,6467.589,544598.919,0.524
20,48,1248,9848.796,285318.63,1.028
20,51,1251,2618.194,51462.674,0.24
20,54,1254,20555.733,966449.156,1
20,57,1257,1698.667,42107.104,0.219
21,0,1260,2682.472,85958.876,0.348
21,3,1263,13171.467,630619.689,0.8
21,6,1266,11611.263,281620.559,0.989
21,9,1269,7303.022,272208.444,0.861
21,12,1272,12818.549,644059.121,0.747
21,15,1275,14138.696,616446.32,0.956
21,18,1278,9952.222,130131.2,1.044
21,21,1281,4198.818,83486.818,0.511
21,24,1284,16112.221,437714.74,1.884
21,27,1287,15275.713,654930.519,1
21,30,1290,9858.549,189113.582,1.143
21,33,1293,6499.5,154959.864,0.472
21,36,1296,10291.279,602969.53,0.645
21,39,1299,2010.26,95644.881,0.22
21,42,1302,13671.867,616214.844,0.656
21,45,1305,1413.435,52917.174,0.228
21,48,1308,2898.637,37050.286,0.363
21,51,1311,2085.348,15949.888,0.253
21,54,1314,959.818,20654.909,0.131
21,57,1317,2434.077,39530.21,0.331
22,0,1320,1144.957,31100.391,0.174
22,3,1323,2229.364,57018.227,0.284
22,6,1326,1293.79,48562.608,0.144
22,9,1329,2444.044,17960.044,0.3
22,12,1332,13462.102,642537.04,0.864
22,15,1335,829.26,25688.265,0.111
22,18,1338,2703.425,61284.022,0.304
22,21,1341,2929.547,31302.144,0.354
22,24,1344,4026.067,122023.461,0.607
22,27,1347,1524.95,34082.608,0.21
22,30,1350,1298.267,60328.711,0.122
22,33,1353,882.667,19418.133,0.128
22,36,1356,782.067,22266.517,0.112
22,39,1359,5363.385,70875.692,0.505
22,42,1362,1950.123,19369.117,0.251
22,45,1365,14708.331,863767.293,0.464
22,48,1368,3439.033,56877.275,0.385
22,51,1371,1068.455,36818.273,0.142
22,54,1374,4193.399,122141.902,0.77
22,57,1377,1343.912,26079.824,0.165
23,0,1380,3996.425,424778.547,0.48
23,3,1383,4104.352,228801.626,0.473
23,6,1386,3229.773,89703.364,0.455
23,9,1389,9253.143,479291.956,0.698
23,12,1392,981.275,17365.231,0.148
23,15,1395,720.227,17085.955,0.108
23,18,1398,1043.304,20170.348,0.141
23,21,1401,2736.045,142236.136,0.347
23,24,1404,1035.352,83985.117,0.123
23,27,1407,1576.175,62313.749,0.251
23,30,1410,1027.48,23583.458,0.153
23,33,1413,1026.578,23642.667,0.144
23,36,1416,1168.731,22227.742,0.172
23,39,1419,1233.073,30497.564,0.212
23,42,1422,990.182,18908.909,0.125
23,45,1425,1367.823,25193.503,0.177
23,48,1428,1249.698,56270.168,0.162
23,51,1431,766.615,15869.229,0.123
23,54,1434,1256.396,26496.703,0.159
23,57,1437,1138.178,20932.178,0.189
0,0,0,981.79,18873.105,0.144
0,3,3,926.337,16380.404,0.152
0,6,6,806.409,27936.796,0.127
0,9,9,3598.497,118563.315,0.442
0,12,12,1140.475,32338.305,0.147
0,15,15,828.584,15856.674,0.118
0,18,18,1246.813,72695.253,0.143
0,21,21,932.852,47878.863,0.109
0,24,24,735.232,22118.915,0.113
0,27,27,1083.084,27375.24,0.145
0,30,30,1868.308,31293.978,0.22
0,33,33,1058.576,16791.412,0.141
0,36,36,1848.132,136013.802,0.165
0,39,39,1628.603,32082.95,0.24
0,42,42,702.622,16641.511,0.111
0,45,45,3765.67,62773.978,0.374
0,48,48,1676.584,20319.326,0.197
0,51,51,1116.978,37290,0.122
0,54,54,9786.978,268778.8,0.839
0,57,57,1448.311,47453.911,0.128
1,0,60,994.154,16568.132,0.154
1,3,63,12661.911,420822.222,0.628
1,6,66,1233.935,33333.204,0.161
1,9,69,3742.529,20964.874,0.402
1,12,72,4788.872,92654.927,0.436
1,15,75,1129.289,20588.578,0.178
1,18,78,2149.26,32355.271,0.265
1,21,81,6315.713,129438.718,0.63
1,24,84,851.315,15971.713,0.155
1,27,87,12048.588,354440.768,0.452
1,30,90,2082.242,31068.571,0.258
1,33,93,2219.352,28881.788,0.302
1,36,96,2526.044,75426.711,0.306
1,39,99,2288.223,76850.413,0.156
1,42,102,1061.408,16978.101,0.134
1,45,105,5911.47,63866.917,0.635
1,48,108,17676.852,674501.902,0.923
1,51,111,3041.832,41945.251,0.385
1,54,114,12155.62,612971.844,0.777
1,57,117,1024.393,20313.355,0.126
2,0,120,6490.955,130570.455,0.693
2,3,123,6082.21,43542.144,0.58
2,6,126,2014.418,29530.637,0.231
2,9,129,4870.444,59243.778,0.628
2,12,132,16143.685,675059.461,0.697
2,15,135,7446.4,110374.089,0.728
2,18,138,3603.845,17694.276,0.392
2,21,141,2764.622,48649.422,0.344
2,24,144,3221.171,178287.293,0.359
2,27,147,3607.061,131870.793,0.447
2,30,150,4015.261,88405.957,0.565
2,33,153,2720,35451.402,0.322
2,36,156,1258.286,25664.703,0.181
2,39,159,1723.111,43332.844,0.233
2,42,162,3459.888,26483.486,0.352
